   W                 M4-_p1/2
 (MeV)      Re       DRe      Im       DIm
1125.893    0.007    0.000    0.000    0.000
1127.891    0.007    0.000    0.000    0.000
1129.903    0.007    0.000    0.000    0.000
1131.911    0.008    0.000    0.000    0.000
1133.915    0.008    0.000    0.000    0.000
1135.841    0.009    0.000    0.000    0.000
1135.916    0.009    0.000    0.000    0.000
1137.913    0.009    0.000    0.000    0.000
1139.396    0.009    0.000    0.000    0.000
1139.923    0.009    0.000    0.000    0.000
1141.905    0.010    0.000    0.000    0.000
1142.931    0.010    0.000    0.000    0.000
1143.916    0.010    0.000    0.000    0.000
1145.916    0.010    0.000    0.000    0.000
1146.464    0.010    0.000    0.000    0.000
1147.855    0.010    0.000    0.000    0.000
1149.905    0.012    0.000    0.000    0.000
1149.986    0.012    0.000    0.000    0.000
1151.886    0.012    0.000    0.000    0.000
1153.497    0.012    0.000    0.000    0.000
1153.880    0.012    0.000    0.000    0.000
1155.862    0.012    0.000    0.000    0.000
1157.006    0.014    0.000    0.000    0.000
1157.849    0.014    0.000    0.000    0.000
1159.841    0.014    0.000    0.000    0.000
1160.504    0.014    0.000    0.000    0.000
1161.821    0.014    0.000    0.000    0.000
1163.798    0.014    0.000    0.000    0.000
1163.991    0.014    0.000    0.000    0.000
1165.780    0.016    0.000    0.000    0.000
1167.468    0.016    0.000    0.000    0.000
1167.758    0.016    0.000    0.000    0.000
1169.733    0.016    0.000    0.000    0.000
1170.951    0.016    0.000    0.000    0.000
1171.680    0.016    0.000    0.000    0.000
1173.680    0.016    0.000    0.000    0.000
1174.336    0.018    0.000    0.000    0.000
1175.653    0.018    0.000    0.000    0.000
1177.631    0.018    0.000    0.000    0.000
1177.870    0.018    0.000    0.000    0.000
1179.597    0.018    0.000    0.000    0.000
1181.306    0.018    0.000    0.000    0.000
1181.560    0.018    0.000    0.000    0.000
1183.528    0.019    0.000    0.000    0.000
1184.748    0.019    0.000    0.000    0.000
1185.493    0.019    0.000    0.000    0.000
1187.454    0.020    0.000    0.000    0.000
1188.180    0.020    0.000    0.000    0.000
1189.412    0.020    0.000    0.000    0.000
1191.366    0.021    0.000    0.000    0.000
1191.603    0.021    0.000    0.000    0.000
1193.334    0.021    0.000    0.000    0.000
1195.015    0.021    0.000    0.000    0.000
1195.235    0.021    0.000    0.000    0.000
1197.235    0.023    0.000    0.000    0.000
1198.426    0.023    0.000    0.000    0.000
1199.193    0.023    0.000    0.000    0.000
1201.038    0.023    0.000    0.000    0.000
1201.819    0.023    0.000    0.000    0.000
1202.950    0.023    0.000    0.000    0.000
1204.852    0.023    0.000    0.000    0.000
1205.210    0.023    0.000    0.000    0.000
1206.751    0.024    0.000    0.000    0.000
1208.600    0.024    0.000    0.000    0.000
1208.646    0.024    0.000    0.000    0.000
1210.539    0.024    0.000    0.000    0.000
1211.987    0.024    0.000    0.000    0.000
1212.429    0.024    0.000    0.000    0.000
1214.315    0.026    0.000    0.000    0.000
1215.273    0.026    0.000    0.000    0.000
1216.207    0.026    0.000    0.000    0.000
1218.049    0.026    0.000    0.000    0.000
1218.712    0.026    0.000    0.000    0.000
1219.951    0.027    0.000    0.000    0.000
1221.826    0.027    0.000    0.000    0.000
1222.048    0.027    0.000    0.000    0.000
1223.690    0.027    0.000    0.000    0.000
1225.399    0.027    0.000    0.000    0.000
1225.560    0.027    0.000    0.000    0.000
1227.419    0.027    0.000    0.000    0.000
1228.733    0.029    0.000    0.000    0.000
1229.275    0.029    0.000    0.000    0.000
1231.128    0.029    0.000    0.000    0.000
1232.065    0.029    0.000    0.000    0.000
1232.979    0.029    0.000    0.000    0.000
1234.819    0.030    0.000    0.000    0.000
1235.389    0.030    0.000    0.000    0.000
1236.664    0.030    0.000    0.000    0.000
1238.514    0.031    0.000    0.000    0.000
1238.696    0.031    0.000    0.000    0.000
1240.301    0.031    0.000    0.000    0.000
1242.009    0.031    0.000    0.000    0.000
1242.183    0.031    0.000    0.000    0.000
1244.002    0.032    0.000    0.000    0.000
1245.306    0.032    0.000    0.000    0.000
1245.826    0.032    0.000    0.000    0.000
1247.647    0.032    0.000    0.000    0.000
1248.594    0.032    0.000    0.000    0.000
1249.466    0.032    0.000    0.000    0.000
1251.274    0.033    0.000    0.000    0.000
1251.896    0.033    0.000    0.000    0.000
1253.095    0.033    0.000    0.000    0.000
1254.883    0.033    0.000    0.000    0.000
1255.085    0.033    0.000    0.000    0.000
1256.684    0.033    0.000    0.000    0.000
1258.437    0.034    0.000    0.000    0.000
1258.482    0.034    0.000    0.000    0.000
1260.285    0.034    0.000    0.000    0.000
1261.691    0.035    0.000    0.000    0.000
1262.026    0.035    0.000    0.000    0.000
1263.861    0.035    0.000    0.000    0.000
1264.944    0.035    0.000    0.000    0.000
1265.649    0.036    0.000    0.000    0.000
1267.412    0.036    0.000    0.000    0.000
1268.189    0.036    0.000    0.000    0.000
1269.187    0.036    0.000    0.000    0.000
1270.960    0.036    0.000    0.000    0.000
1271.433    0.036    0.000    0.000    0.000
1272.731    0.036    0.000    0.000    0.000
