   W         E3-(eta_p)
 (MeV)      Re      Im
 1487.0    0.000   0.000
 1488.0    0.000   0.000
 1489.0    0.000   0.000
 1490.0    0.000   0.000
 1491.0    0.000   0.000
 1492.0    0.000   0.000
 1493.0    0.000   0.000
 1494.0    0.000   0.000
 1495.0    0.000   0.000
 1496.0    0.000   0.000
 1497.0    0.000   0.000
 1498.0    0.000   0.000
 1499.0    0.000   0.000
 1500.0    0.000   0.000
 1501.0    0.001   0.000
 1502.0    0.001   0.000
 1503.0    0.001   0.000
 1504.0    0.001   0.000
 1505.0    0.001   0.000
 1506.0    0.001   0.000
 1507.0    0.001   0.000
 1508.0    0.001   0.000
 1509.0    0.001   0.000
 1510.0    0.001   0.000
 1511.0    0.001   0.000
 1512.0    0.001   0.000
 1513.0    0.001   0.000
 1514.0    0.001   0.000
 1515.0    0.001   0.000
 1516.0    0.001   0.000
 1517.0    0.002   0.000
 1518.0    0.002   0.000
 1519.0    0.002   0.000
 1520.0    0.002   0.000
 1521.0    0.002   0.000
 1522.0    0.002   0.000
 1523.0    0.002   0.000
 1524.0    0.002   0.000
 1525.0    0.002   0.000
 1526.0    0.002   0.000
 1527.0    0.002   0.000
 1528.0    0.003   0.000
 1529.0    0.003   0.000
 1530.0    0.003   0.000
 1531.0    0.003   0.000
 1532.0    0.003   0.000
 1533.0    0.003   0.000
 1534.0    0.003   0.000
 1535.0    0.003   0.000
 1536.0    0.003   0.001
 1537.0    0.003   0.001
 1538.0    0.004   0.001
 1539.0    0.004   0.001
 1540.0    0.004   0.001
 1541.0    0.004   0.001
 1542.0    0.004   0.001
 1543.0    0.004   0.001
 1544.0    0.004   0.001
 1545.0    0.004   0.001
 1546.0    0.004   0.001
 1547.0    0.005   0.001
 1548.0    0.005   0.001
 1549.0    0.005   0.001
 1550.0    0.005   0.001
 1551.0    0.005   0.001
 1552.0    0.005   0.001
 1553.0    0.005   0.001
 1554.0    0.005   0.001
 1555.0    0.006   0.001
 1556.0    0.006   0.001
 1557.0    0.006   0.001
 1558.0    0.006   0.001
 1559.0    0.006   0.001
 1560.0    0.006   0.001
 1561.0    0.006   0.001
 1562.0    0.007   0.002
 1563.0    0.007   0.002
 1564.0    0.007   0.002
 1565.0    0.007   0.002
 1566.0    0.007   0.002
 1567.0    0.007   0.002
 1568.0    0.008   0.002
 1569.0    0.008   0.002
 1570.0    0.008   0.002
 1571.0    0.008   0.002
 1572.0    0.008   0.002
 1573.0    0.008   0.002
 1574.0    0.008   0.002
 1575.0    0.009   0.003
 1576.0    0.009   0.003
 1577.0    0.009   0.003
 1578.0    0.009   0.003
 1579.0    0.009   0.003
 1580.0    0.010   0.003
 1581.0    0.010   0.003
 1582.0    0.010   0.003
 1583.0    0.010   0.003
 1584.0    0.010   0.003
 1585.0    0.010   0.004
 1586.0    0.011   0.004
 1587.0    0.011   0.004
 1588.0    0.011   0.004
 1589.0    0.011   0.004
 1590.0    0.011   0.004
 1591.0    0.012   0.004
 1592.0    0.012   0.005
 1593.0    0.012   0.005
 1594.0    0.012   0.005
 1595.0    0.012   0.005
 1596.0    0.012   0.005
 1597.0    0.013   0.005
 1598.0    0.013   0.006
 1599.0    0.013   0.006
 1600.0    0.013   0.006
 1601.0    0.013   0.006
 1602.0    0.014   0.006
 1603.0    0.014   0.007
 1604.0    0.014   0.007
 1605.0    0.014   0.007
 1606.0    0.014   0.007
 1607.0    0.015   0.008
 1608.0    0.015   0.008
 1609.0    0.015   0.008
 1610.0    0.015   0.008
 1611.0    0.015   0.009
 1612.0    0.015   0.009
 1613.0    0.016   0.009
 1614.0    0.016   0.009
 1615.0    0.016   0.010
 1616.0    0.016   0.010
 1617.0    0.016   0.010
 1618.0    0.016   0.011
 1619.0    0.017   0.011
 1620.0    0.017   0.011
 1621.0    0.017   0.012
 1622.0    0.017   0.012
 1623.0    0.017   0.013
 1624.0    0.017   0.013
 1625.0    0.017   0.013
 1626.0    0.017   0.014
 1627.0    0.018   0.014
 1628.0    0.018   0.015
 1629.0    0.018   0.015
 1630.0    0.018   0.015
 1631.0    0.018   0.016
 1632.0    0.018   0.016
 1633.0    0.018   0.017
 1634.0    0.018   0.017
 1635.0    0.018   0.018
 1636.0    0.018   0.018
 1637.0    0.018   0.019
 1638.0    0.018   0.019
 1639.0    0.018   0.020
 1640.0    0.018   0.020
 1641.0    0.018   0.021
 1642.0    0.018   0.021
 1643.0    0.018   0.022
 1644.0    0.018   0.022
 1645.0    0.017   0.023
 1646.0    0.017   0.023
 1647.0    0.017   0.024
 1648.0    0.017   0.024
 1649.0    0.017   0.025
 1650.0    0.016   0.025
 1651.0    0.016   0.026
 1652.0    0.016   0.027
 1653.0    0.016   0.027
 1654.0    0.015   0.028
 1655.0    0.015   0.028
 1656.0    0.015   0.029
 1657.0    0.014   0.029
 1658.0    0.014   0.030
 1659.0    0.013   0.030
 1660.0    0.013   0.031
 1661.0    0.012   0.031
 1662.0    0.012   0.031
 1663.0    0.012   0.032
 1664.0    0.011   0.032
 1665.0    0.010   0.033
 1666.0    0.010   0.033
 1667.0    0.009   0.033
 1668.0    0.009   0.034
 1669.0    0.008   0.034
 1670.0    0.008   0.034
 1671.0    0.007   0.035
 1672.0    0.006   0.035
 1673.0    0.006   0.035
 1674.0    0.005   0.035
 1675.0    0.004   0.036
 1676.0    0.004   0.036
 1677.0    0.003   0.036
 1678.0    0.003   0.036
 1679.0    0.002   0.036
 1680.0    0.001   0.036
 1681.0    0.001   0.036
 1682.0    0.000   0.036
 1683.0   -0.001   0.036
 1684.0   -0.001   0.036
 1685.0   -0.002   0.036
