   W         E2+(eta_p)
 (MeV)      Re      Im
 1486.0    0.000   0.000
 1487.0    0.000   0.000
 1488.0    0.000   0.000
 1489.0    0.000   0.000
 1490.0    0.000   0.000
 1491.0    0.000   0.000
 1492.0   -0.001   0.000
 1493.0   -0.001   0.000
 1494.0   -0.001   0.000
 1495.0   -0.001   0.000
 1496.0   -0.001   0.000
 1497.0   -0.001   0.000
 1498.0   -0.001   0.000
 1499.0   -0.001   0.000
 1500.0   -0.001   0.000
 1501.0   -0.001   0.000
 1502.0   -0.001   0.000
 1503.0   -0.001   0.000
 1504.0   -0.001   0.000
 1505.0   -0.001   0.000
 1506.0   -0.002   0.000
 1507.0   -0.002   0.000
 1508.0   -0.002   0.000
 1509.0   -0.002   0.000
 1510.0   -0.002   0.000
 1511.0   -0.002   0.000
 1512.0   -0.002   0.000
 1513.0   -0.002   0.000
 1514.0   -0.002   0.000
 1515.0   -0.002   0.000
 1516.0   -0.002   0.000
 1517.0   -0.002   0.000
 1518.0   -0.002   0.000
 1519.0   -0.002   0.000
 1520.0   -0.003   0.000
 1521.0   -0.003   0.000
 1522.0   -0.003   0.000
 1523.0   -0.003   0.000
 1524.0   -0.003   0.000
 1525.0   -0.003   0.000
 1526.0   -0.003   0.000
 1527.0   -0.003   0.000
 1528.0   -0.003   0.000
 1529.0   -0.003   0.000
 1530.0   -0.003   0.000
 1531.0   -0.003   0.000
 1532.0   -0.003   0.000
 1533.0   -0.003   0.000
 1534.0   -0.003   0.000
 1535.0   -0.003   0.000
 1536.0   -0.004   0.000
 1537.0   -0.004   0.000
 1538.0   -0.004   0.000
 1539.0   -0.004   0.000
 1540.0   -0.004   0.000
 1541.0   -0.004   0.000
 1542.0   -0.004  -0.001
 1543.0   -0.004  -0.001
 1544.0   -0.004  -0.001
 1545.0   -0.004  -0.001
 1546.0   -0.004  -0.001
 1547.0   -0.004  -0.001
 1548.0   -0.004  -0.001
 1549.0   -0.004  -0.001
 1550.0   -0.004  -0.001
 1551.0   -0.004  -0.001
 1552.0   -0.004  -0.001
 1553.0   -0.004  -0.001
 1554.0   -0.004  -0.001
 1555.0   -0.005  -0.001
 1556.0   -0.005  -0.001
 1557.0   -0.005  -0.001
 1558.0   -0.005  -0.001
 1559.0   -0.005  -0.001
 1560.0   -0.005  -0.001
 1561.0   -0.005  -0.001
 1562.0   -0.005  -0.001
 1563.0   -0.005  -0.001
 1564.0   -0.005  -0.001
 1565.0   -0.005  -0.001
 1566.0   -0.005  -0.001
 1567.0   -0.005  -0.001
 1568.0   -0.005  -0.001
 1569.0   -0.005  -0.001
 1570.0   -0.005  -0.001
 1571.0   -0.005  -0.001
 1572.0   -0.005  -0.001
 1573.0   -0.005  -0.001
 1574.0   -0.005  -0.001
 1575.0   -0.005  -0.002
 1576.0   -0.006  -0.002
 1577.0   -0.006  -0.002
 1578.0   -0.006  -0.002
 1579.0   -0.006  -0.002
 1580.0   -0.006  -0.002
 1581.0   -0.006  -0.002
 1582.0   -0.006  -0.002
 1583.0   -0.006  -0.002
 1584.0   -0.006  -0.002
